Date,Open,High,Low,Close,Adj Close,Volume
2021-03-07,48904.5,51500.0,48904.5,51027.0,51027.0,1758722602
2021-03-08,51027.0,52489.0,49329.0,52480.0,52480.0,2172323549
2021-03-09,52480.0,54965.0,52005.0,54960.0,54960.0,2256190115
2021-03-10,54960.0,57477.0,52978.0,55975.5,55975.5,3241934240
2021-03-11,55975.5,58300.0,54324.0,57909.5,57909.5,3219598123
2021-03-12,57909.5,58167.0,54850.5,57315.0,57315.0,3112750436
2021-03-13,57315.0,61900.0,56135.0,61280.5,61280.5,2937102754
2021-03-14,61280.5,61709.5,59029.0,59029.0,59029.0,2275102384
2021-03-15,59029.0,60689.5,54505.5,55627.5,55627.5,4265568113
2021-03-16,55627.5,57010.0,53264.0,57009.5,57009.5,3150700340
2021-03-17,57009.5,59095.0,54156.5,59015.5,59015.5,2827159946
2021-03-18,59015.5,60176.0,57010.0,57620.0,57620.0,2601706666
2021-03-19,57620.0,59527.5,56270.0,58073.5,58073.5,2521821493
2021-03-20,58073.5,60019.5,57883.5,58146.5,58146.5,2151097092
2021-03-21,58146.5,58576.5,55114.5,57421.5,57421.5,2363048374
2021-03-22,57421.5,58506.0,53730.0,54090.0,54090.0,2718794935
2021-03-23,54090.0,55826.5,53000.0,54394.0,54394.0,2547069006
2021-03-24,54394.0,57247.0,51750.0,52244.5,52244.5,3572267643
2021-03-25,52244.5,53225.5,50475.5,51321.5,51321.5,3542906196
2021-03-26,51321.5,55118.0,51272.5,55081.5,55081.5,2237949211
2021-03-27,55081.5,56682.5,54010.0,55869.5,55869.5,2174736146
2021-03-28,55869.5,56580.0,54750.0,55788.5,55788.5,1875741971
2021-03-29,55788.5,58490.0,54965.5,57680.5,57680.5,2672316336
2021-03-30,57680.5,59449.0,57093.5,58812.0,58812.0,2020805220
2021-03-31,58812.0,59950.0,56899.0,58876.0,58876.0,3278943503
2021-04-01,58876.0,59518.5,57960.5,58806.0,58806.0,2390606354
2021-04-02,58806.0,60347.0,58454.0,59020.0,59020.0,2522337435
2021-04-03,59020.0,59906.0,56953.5,57126.5,57126.5,3021092146
2021-04-04,57126.5,58586.0,56500.0,58258.0,58258.0,2226550312
2021-04-05,58258.0,59359.0,56824.5,59330.0,59330.0,2366766276
2021-04-06,59330.0,59612.0,57471.5,58064.0,58064.0,2654892714
2021-04-07,58064.0,58686.0,55500.0,55937.5,55937.5,4110510476
2021-04-08,55937.5,58208.5,55673.5,58149.0,58149.0,1979195607
2021-04-09,58149.0,58945.0,57746.5,58123.0,58123.0,1743769860
2021-04-10,58123.0,61709.5,57920.5,59790.5,59790.5,3161999211
2021-04-11,59790.5,60698.5,59259.5,60076.0,60076.0,1836674222
2021-04-12,60076.0,61424.0,59437.0,59880.5,59880.5,2094184244
2021-04-13,59880.5,63834.0,59825.0,63674.0,63674.0,3277602024
2021-04-14,63674.0,65000.0,61355.5,63071.5,63071.5,4814818199
2021-04-15,63071.5,63953.0,62131.0,63323.5,63323.5,2274300829
2021-04-16,63323.5,63593.5,60010.5,61470.0,61470.0,3769448703
2021-04-17,61470.0,62598.0,59673.0,60114.5,60114.5,2251302821
2021-04-18,60114.5,60426.0,50876.0,56258.5,56258.5,6233793396
2021-04-19,56258.5,57553.0,54376.0,55705.5,55705.5,2942867155
2021-04-20,55705.5,57127.0,53405.0,56513.5,56513.5,3047480036
2021-04-21,56513.5,56802.5,53668.0,53828.5,53828.5,2488150458
2021-04-22,53828.5,55500.0,50549.0,51719.5,51719.5,4040375940
2021-04-23,51719.5,52124.5,47530.5,51137.5,51137.5,4442442449
2021-04-24,51137.5,51164.0,48744.5,50120.0,50120.0,1795370866
2021-04-25,50120.0,50620.5,47010.0,49080.0,49080.0,1730240840
2021-04-26,49080.0,54363.5,48812.0,54025.0,54025.0,2542435856
2021-04-27,54025.0,55487.5,53290.5,55050.5,55050.5,1437594700
2021-04-28,55050.5,56494.0,53893.5,54869.5,54869.5,1803734583
2021-04-29,54869.5,55202.5,52381.0,53524.0,53524.0,1701448071
2021-04-30,53524.0,57966.5,53064.0,57748.5,57748.5,1841533132
2021-05-01,57748.5,58500.0,57112.0,57874.5,57874.5,1163014621
2021-05-02,57874.5,57980.0,56095.0,56641.5,56641.5,1154243253
2021-05-03,56641.5,59032.5,56507.0,57191.5,57191.5,1780150713
2021-05-04,57191.5,57206.0,53064.5,53262.5,53262.5,2613189229
2021-05-05,53262.5,57921.0,52857.0,57553.5,57553.5,2314871489
2021-05-06,57553.5,58428.5,55342.0,56417.0,56417.0,1971567485
2021-05-07,56417.0,58781.5,55313.0,57422.0,57422.0,1834221346
2021-05-08,57422.0,59646.0,57036.0,59000.0,59000.0,1933519416
2021-05-09,59000.0,59341.5,56350.0,58299.5,58299.5,1952362620
2021-05-10,58299.5,59806.0,53849.0,55912.5,55912.5,3272957761
2021-05-11,55912.5,56900.0,54502.0,56764.0,56764.0,2021067271
2021-05-12,56764.0,58036.5,48520.0,49493.0,49493.0,3567563624
2021-05-13,49493.0,51344.5,44632.5,49700.0,49700.0,4764678017
2021-05-14,49700.0,51533.5,48887.5,49888.0,49888.0,1541974906
2021-05-15,49888.0,50671.5,46563.5,46757.0,46757.0,2319470758
2021-05-16,46757.0,49788.5,43868.0,46436.0,46436.0,3209427626
2021-05-17,46436.0,46653.0,42134.0,43582.0,43582.0,4181106482
2021-05-18,43582.0,45798.5,42250.0,42854.5,42854.5,2717396004
2021-05-19,42854.5,43596.0,28157.0,36811.0,36811.0,8625864433
2021-05-20,36811.0,42444.0,34873.0,40620.5,40620.5,3453752671
2021-05-21,40620.5,42327.0,33460.0,37301.0,37301.0,3346306092
2021-05-22,37301.0,38885.0,35244.0,37446.5,37446.5,1880503309
2021-05-23,37446.5,38270.5,31100.0,34711.0,34711.0,2882564071
2021-05-24,34711.0,39920.0,34453.0,38842.5,38842.5,1991029675
2021-05-25,38842.5,39810.0,36511.0,38379.5,38379.5,2038678353
2021-05-26,38379.5,40891.5,37784.0,39254.5,39254.5,1892793740
2021-05-27,39254.5,40444.0,37143.5,38513.0,38513.0,1631304226
2021-05-28,38513.0,38952.0,34710.5,35689.5,35689.5,2399527182
2021-05-29,35689.5,37348.5,33650.0,34587.0,34587.0,1876207814
2021-05-30,34587.0,36549.0,33390.5,35670.0,35670.0,1119093889
2021-05-31,35670.0,37488.5,34168.5,37265.0,37265.0,1631293307
2021-06-01,37265.0,37935.0,35695.0,36677.0,36677.0,1557627256
2021-06-02,36677.0,38199.0,35922.0,37534.5,37534.5,1253832473
2021-06-03,37534.5,39430.0,37160.5,39180.0,39180.0,1390031905
2021-06-04,39180.0,39222.0,35583.0,36840.5,36840.5,2150929702
2021-06-05,36840.5,37921.0,34811.0,35500.0,35500.0,1910494951
2021-06-06,35500.0,36450.0,35235.0,35780.5,35780.5,926947069
2021-06-07,35780.5,36806.0,33300.0,33538.0,33538.0,1543459414
2021-06-08,33538.0,34036.5,31050.0,33389.0,33389.0,2161954454
2021-06-09,33389.0,37488.0,32420.5,37369.5,37369.5,2113774400
2021-06-10,37369.5,38450.0,35810.5,36655.5,36655.5,1627806200
2021-06-11,36655.5,37667.5,35925.5,37311.0,37311.0,1092481700
